Date,BAC,National,Diamond,GPP_prediction
12/28/2018,0.781997553,NA,0.814263931,0
12/29/2018,0.936175603,NA,0.422542006,0
12/30/2018,0.340736753,0.602713839,0.290712328,0
12/31/2018,0.65441093,NA,0.424021604,0
1/1/2019,0.968085106,NA,0.55733088,0
1/2/2019,0.780541761,NA,0.600268809,0
1/3/2019,0.592998415,NA,0.643206737,0
1/4/2019,0.403499517,0.791126871,0.455752781,0
1/5/2019,0.957105276,0.706803443,0.268298824,0
1/6/2019,5.76349477,NA,0.537590458,1.045868856
1/7/2019,10.56988426,NA,0.806882091,3.583709418
1/8/2019,15.37627376,0.677391746,0.522103163,3.477558867
1/9/2019,20.18266325,0.473370964,0.284963369,4.932635172
1/10/2019,0.682158785,NA,0.978800905,0
1/11/2019,0.284583847,NA,0.291629386,0
1/12/2019,1.55537264,0.706897888,0.331310221,0
1/13/2019,1.240882244,NA,0.763304399,0
1/14/2019,0.926391847,1.280458015,0.733665112,0
1/15/2019,1.303497674,0.592025711,0.668750959,0
1/16/2019,1.680603501,0.319383284,0.603836806,0
1/17/2019,2.057709328,0.229328063,0.355134065,0
1/18/2019,1.890442498,NA,0.421399709,0
1/19/2019,1.723175669,NA,0.481141294,0
1/20/2019,1.555908839,0.98356767,0.187125046,0
1/21/2019,1.678398729,NA,0.253331694,0
1/22/2019,1.800888619,NA,0.319538342,0
1/23/2019,1.923378509,0.576010178,0.38574499,0
1/24/2019,0.75223512,0.626073031,0.115146299,0
1/25/2019,0.633479926,0.458494015,0.399171504,0
1/26/2019,0.514724731,NA,0.587799879,0
1/27/2019,0.671085331,NA,0.472159752,0
1/28/2019,0.552541452,0.63163619,0.587600263,0
1/29/2019,0.433997573,0.729231847,0.45892977,0
1/30/2019,0.953333681,0.895026186,0.330259276,0
1/31/2019,0.549430378,0.34775781,0.567464435,0
2/1/2019,1.257035216,0.877631274,0.804669594,0
2/2/2019,1.911290989,0.636188476,0.872644916,0
2/3/2019,0.951762241,NA,0.940620238,0
2/4/2019,0.909188319,0.573854412,0.635396409,0
2/5/2019,10.12729628,NA,0.392625427,3.155287096
